label,x_train
neutral,Who going to Club Bodi tomorrow
neutral,"Boehner rejects 7th, invites Obama on 8th, NFL opening night. So Obama just has to speak @ WH on 7th to ""save"" football coverage? #doitnow"
positive,A signed Tom Boonen shirt is only one of the items in the #EYclassics auction. Curious for more? Joing us this Sunday! http://t.co/glKiVhIx
positive,"@SSbike yep, wanted to limit it to 1 tweet! :)  impressive palmares. While I'm here, stages in Tirreno,Vuelta,Paris-Nice,Suisse, 4th Roubaix"
neutral,World Briefing | Africa: Mali: Red Cross Prepares Food Aid: The International Committee of the Red Cross said Monday that it had star...
positive,At least it will make up for the SAT and the Gonzaga game
neutral,"and so came by ur personal journal so yeah , im adding u to friends ."
positive,"Captain Darren Sammy just announced Windies will be ""playing for Runako Morton"" during 3rd ODI. ""Tribute a great team man and brother"""
neutral,@PartyMiami247: THE DONKEY SHOW OPENING TOMORROW at the ADRIENNE ARSHT CENTER @ArshtCenter GET YOUR TICKETS TODAY http://t.co/TztF8riS
positive,"I wish I was out MD I wanna bear on Negros shit is fun , going out Sunday to Ross snighter Sunday Finna pop off on TWL"
positive,"7/9/1983 Madonna released ""Holiday"" as a single from ""Madonna: The First Album"", It was the 1st Madonna song to enter the Billboard Hot 100."
neutral,Truck will be doing a private event and the cart will be at the lent space on 6th Ave and Canal St.
positive,@vbaffour94 @timtebow love this picture! Praying for you right now Vanessa! May the Lord be your strength! :)
positive,Great practice session with the @ConceptOfficial boys can not wait for Friday with @example &amp; Sunday in Leicester Square Theatre!!
neutral,"Good by @eth38, quickly punched out!RT @BenCuzzupe: Tippett Saga turning more than 5th day wicket at the Adelaide Oval: http://t.co/JfHtRnoT"
neutral,"Well, a few news: Gonna be at Phil's studio with Nachtgeschrei in january to record my first album with the guys.... http://t.co/S6Ks9O3h"
negative,Wow Drew Peterson was just convicted on september 6th for murder of his 3rd wide and they never found the body of his 4th wide Smfh
neutral,Come to the Art Walk tomorrow night to see me perform my original acoustic guitar songs at Coni and Franc from 6pm-9pm!!!
neutral,WILDCAT WORKOUT OCTOBER 31st in the old gym at 7pm!! #FVSU RrrrrrTttttt
positive,"Men's Club Basketball game AT GONZAGA in the Rudolph Fitness Center Court 1 on Monday, November 5th at 8:15pm!!! Spread the word people!"
negative,"@Ayooitsdock your going to be the reason why I fail this HSPA tomorrow, I know it"
neutral,AC Milan reportedly want Miralem Pjanic to join the San Siro in January #FootballFanatic
negative,Semi-finals tomorrow are going to be gay...
neutral,Entourage then going to Eagles training camp tomorrow with @kevinmcanally and @Jimbolosoldier
positive,Thursday night features with a bonus!  Its the end of Copper River Salmon  season so get it while you still can:... http://t.co/guZ69pkm
positive,@youngmensociety See you guys on the 6th of October in Bathurst along with Stan Walker. Can't wait!!! :D
positive,@Oddsbuster Hopefully Marq gets far enough ahead to get the FT patrol out to get us the 2nd half over-going 2 a St Pattys party &amp; get drunk
positive,"Day #12 - Monday, 11/12 - Thank a Veteran Day. Brave men and women who have served their country with honor surround us. Find a veteran t..."
positive,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
neutral,Sigh...... but no matter wat you still have to do your best even if dun depend on your fate....
negative,Watched The Vow for the 5th time and I'm still tearing. What's wrong with this movie. It's tooo... omg i can't even.
neutral,I'm pretty sure Bill O'Brien has gone for it on 4th down more in one season than Paterno did his entire career.
positive,Maino and the mafia love at #infinity tomorrow for #hustlehardwednesdays w/ @djjstar @djfirstchoice @djself  http://t.co/ft1QOOGx
neutral,Friday is cold but here.  How are you guys doing?  Win Evanescence tickets plus Stone Sour's new album in about 15 minutes...
positive,Show your LOVE for your local field &amp; it might win an award!  Gallagher Park #Bedlington current 4th in National Award http://t.co/WeiMDtQt
neutral,Back in Thunderbolt with @drseandaner at Wilmington River before sitting down for Sunday supper with the parents. http://t.co/1Gkm0qJg
negative,"Not sure what im going to be for halloween yet. Sun Shine is just too obvious, Larry Bird is the front runner as of right now."
positive,"Looking forward to going to Carrow Rd tonight. Last time we were there, Bale scored 2 and we were 3rd. Do not want extra time though"
neutral,@RandiiGreene @austin_ormond boom. Take that Austin. Randi are you wearing your pink shirt tomorrow or dressing for America day?
neutral,Reminder: The Mobbies (which celebrate the area's best Internet folk) are tomorrow night at Creative Alliance. http://t.co/fUDZNM5Z
neutral,"@MsWarburg Not really though. Diet's harder to find. Last year, it was out til mid-Nov. then gone when Xmas got here. Gotta be ready."
positive,I saw a photo of Aaron Rodgers with some awesome scruff going on today. Did I mention he was at the White House today? IZ COOL.
neutral,I need a shower and to start getting ready but I'm just sat in bed blogging and watching Celebrity Juice
neutral,"After months of contemplation, I will unveil my remix to ""Ni**as In Paris"" on the 23rd live."
positive,Everyone talks about eli manning  being the best in the 4th qtr. Jay cutler has the best qbr rating in 4th qtr in the nfl #GetSome #DaBears
neutral,Fright night with Meek Mill &amp; Machine Gun Kelly @ Teaneck National Guard Armory October 27th @ 7pm BBOD will be opening hit us for tickets
neutral,"Check it out!! Frobisher Says! is Free for PS Vita October 23rd: Posted by Don Mesa // Director, Product Plannin... http://t.co/ClXm1k28"
neutral,@Rob_Scotland getting there slowly mate! Have you seen there are riots in London tonight? I only just noticed myself and i am not even drunk
neutral,r u going to lecture?
neutral,"Despite rumors that Sandy will close down @UMMorris, Kremlin, &amp; Houses of Parliment, it appears we'll still have classes tomorrow. Sigh."
positive,Thank you to my baby for men that are willing to risk their lifes for us HAPPY VETERAN DAY!! may God bless you guys
neutral,"RT @art2u2: Good Morning! ""Today Voters go to the Polls in Wisconsin's two Final Recalls"" | Reuters: http://t.co/pKZCJZU #p2 #tcot #wirecall"
negative,@charliemax Democrats will quickly implode and concede.  Obama will either veto the Boehner bill or invoke the 14th Amend...then IMPEACH!
neutral,@WFAN660 Paterno wouldnt be charged. All hearsay on him and he did do his job (minimal as may be). He reported it. Rest is speculation.
neutral,"North has a half day Thursday, Einstein doesn't. Anyone wanna go see Ms.Kable with me?"
positive,Buongiorno a tutti! Sun is shining another beautiful day in Vanuatu : )
negative,Oct. 2 is almost too far away for me to wait for the return of #Dexter!
neutral,Yah... Going for e tut at 9... Den afternoon stay in school...
negative,"The Specialist, w/Sly Stallone &amp; Sharon Stone is on G4. Lasting memory: 1st &amp; only movie I feel asleep watching in the theatre. #badmovie"
neutral,"Top 5 Upcoming Games for the PlayStation Vita: After a slow start back in March, the PlayStation Vita has ... http://t.co/4YaTPl7U - N4G"
negative,#pakistan#news Procter and Gamble sales fall 6.7 %: P&amp;G said net earnings in the quarter to September 30 fell to... http://t.co/NYnfUupZ
positive,Celebrity Saturday ! This is great tea good have around especially if you are going to be at the Oscars http://t.co/eh1B7VOZ
neutral,"Microsoft issues critical patch for Windows 7, Vista users: Microsoft issues light Patch Tuesday, with just one... http://cnet.co/qLgoLP"
neutral,"Catholics give up stuff for Lent, Jews are fasting today...being Presbyterian is starting to feel like the ""Casual Friday"" of religions! ;)"
neutral,I'm headed to the Oct 26 Crab Feast at Jimmy's in Dundalk MD with New Generation Ministries at the Metroplex with... http://t.co/b4IN5IkS
positive,Big Day in the sun now a Big Night in the heat with @tobybinge #poppinbottles
neutral,Gift ideas for my 60th coming in October - 40 Ridiculously Expensive Gadgets for the Filthy Rich http://t.co/FJ0YcBXl via @mashable
neutral,"Bionic Commando, Dark Void, Devil May Cry 4, Resident Evil 5, 6 &amp; Op Raccoon City, Lost Planet 2, Asura's Wrath, the proof is there."
positive,"even though there is rampage tonight, a gig tomorrow the best thing about my weekend will be seeing @nikkitopping #loveyou"
neutral,@Steilo_T2G lol yea I did nigga ! &amp; I said wassup _ was tryin to see was u going up to fairground when the sun leave &amp; shit
negative,@LiterallyFedUp 1/2 white? does'nt matter;Malcolm X may hv been as well.Still no specifics.U ppl don't hv ideas except make bombs killem all
neutral,Grappling with corruption and business in Brazil: The World Bank is sponsoring a  panel discussion on October 17... http://t.co/SwDRWHy9
neutral,Have you ever forgotten to get a Valentine's present? Your chance at Feb 17 #bonjovi tix coming up! @benandkerryshow
positive,Northern lights sale tomorrow following the Wexham Cup Bull Sale; sale of Elite Female Holstein &amp; Jerseys! A real treat of a sale! No trick!
negative,Sorry I think tonight cannot\u002c and I not feeling well after my rest.
neutral,@DJonesluvR As far as I know it's just an Australian Tour that Soundwave Touring as lined up for September but they are still waiting on +
neutral,We meet 6 at orchard?
positive,"... may be that's why BJP is defending Gadkari: they are all in the 'game'. As Shourie famously said, Cong &amp; BJP are now one  party."
negative,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...
neutral,"If you thought the One Direction toothpaste was odd, try the Rammstein dildo. http://t.co/PQ3JUh6i"
positive,Erm... i mean is when they determine if you get first class second upper etc they\u2019ll do some moderation.. anyway\u002c ya... jia you!
neutral,It's on....Wifey and I gonna make the trip from New Mexico for my 30th bday to join the #12thMAN on 12/9/12 to for the AZ game. #Seahawks
neutral,"Three sleeps till the Bold, Black and Beautiful IWD lunch on Thursday. Who else might be going? #boldblackbeautiful"
positive,Fundmanagementandtrading....but i\u2019m flexible ofcox ;>
neutral,Just announced: Mario Lemieux will be dropping the puck at the Johnstown Tomahawks first home game on Sept 29th!
neutral,Join Team PML(N) representative to support PMLN vs PTI kids at Front Line with Kamran Shahid Recording tomorrow... http://t.co/D16qLSLU
neutral,"#cmst393 here's an article about Anonymous, which is choosing now to distance itself from WikiLeaks http://t.co/xqAJpJTA"
positive,Doing it big for @A_G_H 22nd birthday with @crissy_khun @veechow thanhnii #hallowe @ MGM Grand at Foxwoods http://t.co/zTvwkouY
positive,Trifecta....Lions win...tigers win....tigers win again = a good Sunday siting on the couch.
positive,"Get the Skinny on MetroPCS launches the Galaxy S III on October 22, price is $499: Good news for MetroPCS custom... http://t.co/zhLufE6Q"
neutral,"@mhdfrzn http://t.co/ylBAY1r3 July 14th, at KL Live. jom jom pergi fatboy slim. so far just me n sophia"
positive,I'm so gonna snatch up all the leftover #Halloween candy at CVS tomorrow #letmeloveyou
neutral,Low-fat Oasis - Edmonton Sun: Low-fat OasisEdmonton SunPoor Noel Gallagher -- up there all alone with his new ba... http://t.co/z5dpTxD4
positive,Saturday 27/10/12 Regal in session with The Big Tunes Crew @ the Iguana Reading more niceness to keep ya skanking hard.
neutral,Billy said he's pitching at the Rising Stars on Saturday AND playing centerfield. #BugsBunnystyle
neutral,"App status changed to ""In Review"" on a  Sunday? Do they always work 7 days or is it pre-holiday crunch time in Cupertino?"
positive,@PatrickDempsey come visit the Grand National Roadster show in January at the Pomona Fairplex. Literally hundreds of sweet rides!
neutral,Blake Griffin Poster Dunk over Kendrick Perkins (6ft.10) in HD (Jan. 30) http://t.co/hQ8tMKC4 that's why you roll after a pick.
negative,Omg worst last 10 days in a while. Looking forward to True Blood to cheer me up tonight.
positive,@CodySimpson I can't wait to see you on December 9th and meet at the fm Kirby Center!!(:
positive,Ohhhh doood! Red holiday cups start back (&amp;holiday drinks) at SB!! So going tomorrow :)
neutral,Okie. See you at 12 then.
positive,"Practicing with Marana tomorrow, should be interesting, black pack all the way!"
positive,"Hello man in pointy, multicoloured, snake skin cowboy boots, a suit and Axl Rose's hair, you've made my Friday heart even happier."
neutral,Heading to Crows Nest on Sunday to cover Ray White's celebrations for 110 years in the business of real estate.
neutral,On to the 3rd movie - Acts of Valor. This time we have corn dogs.
neutral,Please be ON TIME tonight VIPS :) There may be a few treats involved!
positive,"Won tickets on the @RoeConn Show with @RichardRoeper to see @TomDreesenComic at @CDandME this Sunday. Tom's from Alsip, right? ;-) #Harvey"
positive,Red Foo (LMFAO) &amp; The Party Rock Crew are going to rock the Singapore Indoor Stadium on November 5th! Who's excited? :D
positive,I wish fundraising money could be easier ! I wanna go to Belize again this March Break on a mission trip ! Anyone want to support .. ?
neutral,Wonder if the Spurs shop got looted last night? #doubtit
neutral,LMAO RT @Daveearl13: Monday Night Football tonight.....the New York Not Yets vs. the Houston Texans
positive,"@serenawilliams doesn't this make you love them even more RT @BJAofficial: SURPRISE GREEN DAY SHOW Thursday August 11th, http://t.co/nROhM1q"
neutral,@TGood52 ima hit u up tomorrow.  Aye i still laugh at that ufc beer pong from u had in the garage at AZ lollll
negative,oh my god you guys can we talk about that episode of criminal minds ?
negative,"I do worry about the mentality of the average tweeter when I see Jeremy Kyle, and ""Christmas"" trending on November 1st..."
neutral,in the sunny Virginia beach ..
neutral,Italy: Also tonight Livorno host Cesena looking to end of run of 2 home defeats on the trot.Hellas in 2nd welcome lowly Lanciano tomorrow.
neutral,which one?
neutral,@jcexplorer I'm planning a winter trip to Okinawa and on my way back I want to stay a few days in Saga and maybe Fukuoka in early January.
positive,Ravens sign Ricky Williams ohhhhh leeeeee dueeetttttt #blackbirdgang...they bout to smokeout the locker room tonight
positive,Apple CEO apologizes for error-ridden new map app - Apple CEO Tim Cook apologized Friday for the company&amp;#039;s erro... http://t.co/BjbXiPIq
neutral,"The sun is shining over the #UoNCareersRoadshow at SB. Fingers crossed for tomorrow at the Exchange Building, JC from 11am!..."
neutral,Boogie song of the day...Oh Ricky Martin: Que Mas Da Happy Sunday 2 everyone recovering from Halloween party hangovers https://t.co/JenBt7uJ
positive,Don't miss The Fr Ted Quiz for Threshold hosted by the hilarious @joerooney1 (aka Fr Damo!) 18 Dec @roisindubhpub. Tix http://t.co/MMbLJ83N
neutral,"Although i'm not a big fan of SS, all my respects to Mitch Lucker. May you rest in peace."
neutral,@Jesse_Hogan Have you heard any reasoned justification for making James Pattinson 12th man?
positive,"As my mom said, I shouldn't be bitter because THSK will always hold the honor and prestige of being the 1st Korean group to perform in TDome"
positive,"@justinbieber!!! #OMG, he's comming to Mexico!! #MYWORLDTOUR!!!! I'll be on 1st LINE, #BELIEVE. JB RT Me:) 7"
neutral,President Obama on Thursday named former Microsoft and FCC executive Steven VanRoekel as the new federal Chief Information Officer (CIO).
positive,TODAY - is the annual Marijuana March in Toronto! Happy Weed March everyone in Toronto and of course all... http://t.co/2B5dp6LW
neutral,Attention Juniors! Tomorrow is the LAST DAY to buy pep rally shirts. They are $7 and you can buy them in all lunches and in room 405!
positive,"@gsian are you going Coldplay on tues? Also, were you aware De La Soul are playing at the colly in July! Remember you saying you liked them."
neutral,@Ladbrokes any odds on louis saha to score the winner in the derby on sunday? @louissaha08 #backtohauntthescum #bagger
neutral,JOE CORBI'S FUNDRAISING IS DUE TOMORROW! Turn it into one of the DECA advisors!
neutral,"FYI:If you haven't gotten your tickets to see Comedian ALI SIDDIQ @ Claytons inbox NOW!SALUTING NOCTURNAL ON 4 YEARS. 8-10PM this Sunday,"
negative,BNP opposes Companies Act change: The BNP on Tuesday asked the government to drop the move to change Companies A... http://t.co/AVRh5J4g
positive,#rtesoccer Robbie Keane saying he always knew Germany was going to finish 1st in the group!!! #winningmentality #coybig
positive,And here I was looking forward to gaming time once the kids started school =/
positive,"Our last draw for an HD TV is today, 24 Feb., at noon. Good luck, everyone! Details to enter the #pplHDTV comp: https://t.co/hJDkTLah"
positive,Sounds like you have been busy with good things .
positive,"I feel like a kid before xmas, i cannot wait to get oneRT @NokiaKnowings: In case you missed it...Nokia N9 release date http://t.co/VjvQpHF"
neutral,Tomorrow haunted house with Sam kaitlyn marisela Yesinea marcos and maybe Walter and Katie xD
positive,"Tonights Friday Family Movie Night is Journey 2, the Mysterious Island! Looks promising!"
neutral,"Statesboro, Ga has just been added to the tour dates for Sept 28th at Rum Runners!"
neutral,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?
neutral,@TeamTorbayJeds Wouldn't it be better to do it April half term cuz Eurosong means nothing to UK ppl
positive,"@GoldenTickets  @30SECONDSTOMARS Got my GT! June is gonna be MarsMonth! Berlin, Rock Im Park and Rock the Beach! Can't wait to see you again"
negative,"Totally crashed my iPad tonight.  It locked up, and wouldn't even power off.  Used the Hold PWR and HOME bttn trick, to force reboot."
positive,UCLA coach Ben Howland says Josiah Turner is a great player but he expects Arizona to come together and play well Thurs.
neutral,Dir. Gen. Alan Hoffmann and Chairman of the Board of Governors Jim Tisch have brought #TLVBOG to a close. See you in February in Jerusalem!
positive,"Enjoyed watching the people working out during the tour of #technogymvillage in Cesena, Italy. Workouts for attendees tomorrow."
neutral,"Police surgery Fri for #Penygraig residents at the Boys&amp;Girls Club  9am 11am, pop along and meet your local officer http://t.co/PvO8uA62 #MD"
negative,"Friday's CNET Update is playing One Republic : Apple CEO says sorry for iOS 6 map mess Apple CEO Tim Cook has said he was ""extremely sorr"
negative,"Not Black Enough: Miss Teen USA Talks Being Bullied: On Saturday, 18-year-old Logan West made history when she b... http://t.co/gEIr179D"
positive,@ErinsFoodFiles have you read Happiest Baby on Block? @OPKitchen gave to me. It's great! You need it. I'll bring to u tomorrow if u haven't
neutral,"Madonna may have helped paved the road for singers like Rihanna, Katy Perry , Gaga etc.. but Rih owns that road now."
neutral,"Timmonsville's Bubba Huggins endorses TOM RICE in the June 26, 7th Congressional District Republican primary RUN... http://t.co/js7yKCmo"
neutral,@matt_bearden I have snuck into the Sunday night VIP party at ACL.. Got to meet Dave Grohl and party open bar style
neutral,C'mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers
neutral,"Going to see Estelle - Sat 9/15 in Washington, DC at DAR Constitution Hall! Check out the tour dates here -  http://t.co/yS4GMo58"
positive,@LynneMcGranger I would also just like to point out that the Eagles had a win today ;-))
negative,Square is bad for our wallet .
negative,RE: @leighacton What the heck was obama doing for the 1st 2 years when Democrats controlled everything?!!! http://disq.us/2lpzqm
negative,Have to say I think Jason &amp; Taylor may have been robbed by the married duo tonight of Blake &amp; Miranda...
positive,@Kareembynature LOOOL errr.. I'll have to it watch it today (was watching Celebrity Juice last night)
neutral,#Everton News - Krul will miss the Monday night clash with Everton and at least a further couple of ... - ChronicleL... http://t.co/oJfsg5Hr
positive,"Lloyd Robertson's last newscast is tomorrow night.  The end of an amazing career. And honestly, the end of an era #thatsthekindofdayitsbeen"
neutral,"Heavy Cream were my Oxen of the Sun, JEFFBro my Circe, the PATCO line my Eumaeus. Now, at the appointed hour, I've returned to Ithaca."
positive,Okay... Cya... We are intending to buy bikini
neutral,Rick Stein has taken over Padstow; why should Damien Hirst be allowed to destroy the aesthetic appeal of Ilfracombe? http://t.co/9Dzz3MZt
neutral,See you SAT at Pacha Buenos Aires! Release Yourself Radio - Guest Mix From Anil Chawla by Roger Sanchez via #soundcloud http://t.co/HzvznKdZ
neutral,I think I may know the story of the party nail. Salina Gomez jammed her finger the night before the Grammy awards. I rock a party toe today!
neutral,oH MAN i thought the deadline for ACT was tomorrow I have until the 9th bless
neutral,"@kinagrannis Two Birthday Cakes! One with Jelly Beans! I wonder what kind of Birthday Cake the 2nd one was? Goodnight Kina, Emi, and Misa."
neutral,"FCA tomorrow!  What does a butterfly, a circus and you have in common?"
negative,@o0ToucH0o we dont care about Carling Cup! Save it for #Looserpool! Yeah we lose also i wont be crying all night long on wednesday night!
neutral,Next Upper Room meeting this Wednesday in the Treacy Hall at 7.30pm. All welcome.
neutral,Mohamed Nasheed's Press brief about CONI report - 31 Aug 2012: http://t.co/niN6zHhn via @youtube
neutral,"Putrajaya says determined to recover NFC funds: KUALA LUMPUR, Oct 29 - Putrajaya said today it i... http://t.co/Er4fw4ef via @tm_insider"
positive,@LAALVEZZ I'm bringing you a play to read on Monday. YOU'LL READ IT AND LOVE IT. And Meryl Streep is going to be in the movie adaptation.
negative,"well shit... aren't we apparently supposed to wake up to ""Kony 2012"" posters everywhere tomorrow...? or did that all just fall through?"
positive,"@FuckAria I can wear a Black Dahlia Murder shirt one day, and a sun dress the next xD"
neutral,James Murphy may produce the next Arcade Fire album: http://t.co/cHSOPLzI via @Spinner
positive,"February 12th is a nice time to release it. Its the week of the Grammys too. Albums ""sell"" that week."
positive,"Kolchak the Night Stalker. Before the x-files, excellent scary tv. On Netflix huzah"
neutral,"@dannychoo When Douglas Adams wrote Restaurant At The End Of The Universe, he may have had Japan in mind. #HHGTTG"
negative,RT @A_Arshavin_Fans: The safest place to be in Tottenham tonight is the Spurs trophy cabinet.There's no chance of looters visiting there.
positive,"I'm so excited about tomorrow!Get to dress up as a witch for the little kids at my job, then 2Pac and Biggie Smalls at night with #oomf"
neutral,@krystalwelchhh Krystal you better heal up in time for National Margarita Day on Feb 22! http://t.co/HuGaj9En
neutral,"Today is the anniversary of F.Scott Fitzgerald's birth (116 yrs), Dr. Seuss's death (21) &amp; the 1st pub. of The Hobbit (75) via @brainpicker"
neutral,Who wants to work for me tomorrow? Don't all stand up at once noww #unlessyourwillingto
neutral,"So , we had to evacuate our town on Monday ."
negative,"And that's excluding all the spin-offs. Terra Nova wasn't great, but I'd rather watch a 2nd season of that than more fraggin' Kardashians."
positive,still within His control. then i don\u2019t feel so bad anymore. :)
neutral,LMAO RT @SkinnyCuh: They should make a new Friday and have Kevin Hart Katt Williams And Mike Epps in it.
positive,@BenThePCGuy Only you can answer before I try! There's on WP8 a way to call 3rd p. apps? Like Intents on Android. I wanna switch to WP!
neutral,Western Force kicks off new Super Rugby season on the road - Herald Sun http://t.co/RD6If1yI #Melbourne #News
positive,"Three times Grammy nominated, Brit Award nominee and Ivor Novella winner Joan Armatrading takes to the stage on Sunday! http://t.co/M2uukRLx"
positive,RT @spaikin: want to wish legendary broadcaster lloyd robertson a great final newscast tonight.  the man is a total class act.  #ctv  #l ...
negative,"RT @JimmyTraina: The guy is a nut, but I will miss Andy Rooney rambling about something ridiculous each Sunday night: http://t.co/HZmPIj0G"
positive,Every Thursday I fall more and more in love with Maya Rudolph
negative,Huh but i cant go 2 ur house empty handed right?
neutral,Of course it's Aston Villa.  Played them off the park on Saturday.  Bring it on!
negative,"#CNET - Just bought my 1st iPad, iPad3, feeling real burned, mad, about iPad4 so soon. Grrr. REALLY mad! Don't even care about mini now,"
positive,"Proud of Aishwarya's French honour: Big B: Mumbai, Nov 2 (IANS) Megastar Amitabh Bachchan says he is proud that ... http://t.co/x5721z5E"
neutral,"Britain may be in for a new bout of flooding in the coming months, the Environment Agency warns, as 6 Oxon waterways remain on flood alert."
neutral,"Does Girls Gone Wild still make commercials?  If, God Forbid, this one goes to extras, we may find out."
neutral,#Redskins QB John Beck will start Friday against the Colts despite a strong performance by Rex Grossman.
positive,I can't wait to here this Negros explanation about Monday night!!! Smh un huh trust issues
neutral,"I wish I had a SS tshirt, I would wear it right now and tomorrow"
positive,Who else is excited to see the boys on StarTalk tomorrow???
positive,Tomorrow is the release of the 20th Anniversary Kniteforce Boxset featuring many remixes including mine of Super Sunday! $92 at the store!
positive,Fuck yes the Girl Scouts just came to my door. And I may or may not have bought ten boxes of thin mints....
positive,The Orange County Armenian Festival is going on today and tomorrow 15 &amp; 16 in Laguna Hills.  Come and enjoy a... http://t.co/gAiixCnl
negative,seeing him reminds me of my past stupidity and mistakes ok? thats why i hate seeing him. it\u2019s not that i m not over him. tt\u2019s different.
neutral,'Edgar Davids pulled on his boots to lead bottom of League 2 Barnet to their first win of the season on Friday night' http://t.co/UI0yb8aG
negative,Sad I won't get to see @ZachMTV on The Challenge: Battle of the Seasons tonight :( I guess I'll have to wait until next Wednesday..
positive,Swing by the All Arts Market Friday night at Neighborhood Theatre! Come buy local and start your Christmas shopping early:)
neutral,@LDunne1502 you also employ Todd Bertuzzi like c'mon man
neutral,Henryville residents still waiting for help from the March tornados....more @ 6:30 on 90.1FM.
neutral,"An update from @GemmaKersey, an athlete sponsored by Birkett Long who attended the London Grand Prix on Saturday http://t.co/P96yy8ck"
positive,Going to the Georgetown game on Friday! #imwearingblue #istillloveeastview
positive,"@annie_cutler Good luck tomorrow night. You'll be great.  Also, Samoas and Thin Mints = great way to warm up the crowd.  #Mmm  #SOCOMX"
neutral,Oic... Then better quickly go bathe n settle down...
negative,u want borrow from him? can make a copy for me too?
neutral,TOM+LORENZO talk about the girls at ELLE's Women in Hollywood Celebration! Check out Viola Davis in RAOUL! http://t.co/S9fUYbab
neutral,"Final Four is set and here is the match-ups. ""If we win""... we play on Saturday at 7:00 p.m. in Lexington! http://t.co/ZRQDwmbg"
neutral,@SdotBell son I saw a house last night was 1.9 mil behind hella trees that looked like the palace from Aladdin no bullshit lol
negative,Jose Iglesias is in the #PawSox lineup tonight for the first time since sliding into the catcher on Sunday. He missed three games.
positive,"We nailed the Trifecta at #Belmont today for $1,139.00 in the 7th race!  Check it out: http://t.co/bYMS71CE"
neutral,Stick with Libero for live updates from the games tomorrow: Feyenoord vs Ajax and Bayern Munich vs Bayer Leverkusen
positive,@felliiiisha come over tomorrow? :) my mom isn't staying there with me she has to stay with the big dogs at the old house until Gordon
positive,"@creativetimes Eleanor, that's cool, it would be great to see your pastel art. ;) Link to the painting I did on Monday http://t.co/8puSNbaN"
negative,Premier League Team done ready for tomorrow. Bit of a risky tactic that might backfire in week 1! Now to get ready for NFL FF draft tonight
neutral,I really just lurk around reading my friends page ;)
negative,Yes u did... Then u going office tmr a not? U got sch at 9 rite? My sis ex so irritating keep calling me while i msg u...
neutral,"The ambition of Nadal, the knees of Ena Sharples and the liver of George Best. My recipe for Saturday tennis. #5-7 5-7"
neutral,If we go buy tickets too late sure get bad seats one. When can you be at jp? I need some time to bath before I can go out.
positive,"@Aarononio I'm still at my school, stayed in the 6th form. But I see you got into the Brits!! Congrats Iil bro I'm proud :')"
positive,Not too late to come down to our Monday night open mic to sing or just have a good time!  IGUANA 240 W 54 St. Will be here till 9 pm
neutral,@abbiedude I get the number 11 on a Wednesday and the st David's school bus on a Thursday because it drops off at air bus xx
neutral,will testdrive the new Nokia N9 phone with our newest app starting on Thursday :-)
neutral,"Parsons also confirmed w/ TW reporter abt JLin's popularity, also 'promised' he'll visit Taiwan next yr http://t.co/ER67bSxy"
negative,Gavin Henson looks set to miss the Rugby World Cup after dislocating a bone in his right wrist yesterday
negative,"Disappointed the Knicks vs Nets game got canceled tonight, but I'm even more hyped for Knicks vs Heat on Friday!"
neutral,FM Preview: West Bromwich Albion v Reading 22 Sep 2012 - FootyMad attempt to assist you with their form guide as Wes... http://t.co/PHJIMufB
neutral,Today: Sefton v @AlderCC HOME 12noon - including President's Day; 2nd XI v @newtoncricket Away 12.45pm.  Let's hope the forecast's wrong!
negative,"@Tina__Tubs Does anyone else find it odd #McCann jumped on April Jones bandwagon,but didnt say  word about Tia Sharp where FAMILY involved ?"
negative,"Oy.  Don't expect to get a flag when you're playing like this in the 2nd half, okay Eddie Royal?"
neutral,i should b able to go down. who else going?
positive,Catch me on Sarah G Live this sunday!! Hehe Ingat guys! Goodnight! Love you!! :****
neutral,I'm watching Thursday Night Football between the Tampa Bay Buccaneers and the Minnesota Jared Allen
positive,Having a good but long time in NFL training camp #grind half day tomorrow=go time tonight
positive,"University are your 2012 Queensland Premier Rugby champions, winning the Hospital Cup 46-20 over Sunnybank at Ballymore on Sunday."
neutral,Kyle Williams Monday Press Conference: Bills defensive tackle Kyle Williams talks about coming back from the bye... http://t.co/xsxJvUnh
neutral,"I'm sharing my candy with Lyric, Alena, Dejanae and Marquell tomorrow =)"
neutral,#SAFC have brought on former #NUFC striker Louis Saha. The Frenchman is 6/1 to score the 2nd goal of this game. The draw is a 9/4 chance!
neutral,Benefit at the Rosedale firehouse for my trip to Texas is on Friday 4-7! $7 for hearty meal and dessert! There will be a silent auction also
negative,"@JaggerHope91 oiler fans are unhappy with, 45 points each season, Gagner as their 2nd line C. Habs fans should hate 28 point Eller as a 2C."
neutral,@ruanlouw75 Are you available to play Sunday in the President's Day game?
neutral,I think Joe Paterno went for it on 4th down twice in 40 years. #PennState has gone for it on 4th down twice today. #DizzyInHappyValley
positive,"Happy Valentines Day &lt;3... only if you live in Brazil, otherwise its just another irritating Monday."
neutral,@santababy100 I was looking at the Scottish Kilomathon in March. Are you about? St. Patrick's Day (my half birthday ;-))
